Area,Element,mean,std,min,max,Cluster
Haiti,Standard Deviation,0.426045871559633,0.12555553480735576,0.248,0.6,0
Haiti,Temperature change,0.5521111111111111,0.7023358534848856,-0.994,2.186,3
Holy See,Standard Deviation,0.9201630434782608,0.24646522065563992,0.349,1.668,4
Holy See,Temperature change,0.4050842105263158,1.3146300803466717,-2.488,3.494,8
Honduras,Standard Deviation,0.48356818181818184,0.11067616585611481,0.291,0.645,0
Honduras,Temperature change,0.4458190476190476,0.4897831698617801,-0.625,1.779,3
Hungary,Standard Deviation,1.465158415841584,0.6296207228589806,0.628,3.171,2
Hungary,Temperature change,0.5521237113402062,2.0332317627862166,-4.858,6.474,9
Iceland,Standard Deviation,1.0985242718446602,0.5111351428037633,0.437,2.196,2
Iceland,Temperature change,0.28977477477477476,1.04355198228049,-1.878,3.763,8
India,Standard Deviation,0.528433962264151,0.18141491611210053,0.216,0.798,0
India,Temperature change,0.2681121495327103,0.5918087931766349,-1.413,1.866,3
Indonesia,Standard Deviation,0.23040594059405942,0.044430435113291825,0.155,0.314,0
Indonesia,Temperature change,0.3211704545454545,0.4055672690094025,-0.407,1.537,3
Iran (Islamic Republic of),Standard Deviation,1.0155909090909092,0.5592860011740485,0.396,2.125,4
Iran (Islamic Republic of),Temperature change,0.6249607843137255,1.3024149915937284,-2.916,4.648,1
Iraq,Standard Deviation,1.0614722222222222,0.37794155851280803,0.53,1.805,4
Iraq,Temperature change,0.2604591836734694,1.303764194797679,-3.404,2.693,7
Ireland,Standard Deviation,0.9336633663366336,0.30609055121737166,0.411,1.507,4
Ireland,Temperature change,0.35194444444444445,1.1948588028200882,-4.331,3.014,7
Isle of Man,Standard Deviation,0.9983255813953488,0.30094902604771756,0.438,1.558,4
Isle of Man,Temperature change,0.5038870967741935,1.1301734898813223,-4.751,3.457,7
Israel,Standard Deviation,0.9606435643564357,0.29148528553456754,0.473,1.486,4
Israel,Temperature change,0.1383578947368421,1.075446704969411,-2.458,3.2,8
Italy,Standard Deviation,0.8931727272727272,0.2553919764493309,0.323,1.811,4
Italy,Temperature change,0.6254563106796116,1.2692433578726747,-2.401,3.131,1
Jamaica,Standard Deviation,0.4259009900990099,0.08205358065928565,0.267,0.593,0
Jamaica,Temperature change,0.6244,0.6179802448126667,-0.58,1.892,3
Japan,Standard Deviation,0.7670353982300885,0.2286430831012895,0.356,1.239,4
Japan,Temperature change,0.366930693069307,0.7952331891643575,-1.653,2.064,3
Jordan,Standard Deviation,1.0654623655913977,0.3129643874427035,0.527,1.638,4
Jordan,Temperature change,0.16474157303370787,1.1787427000457453,-2.831,4.308,7
Kazakhstan,Temperature change,1.3481621621621622,2.283770353719596,-4.935,8.719,6
Kenya,Standard Deviation,0.3785963302752294,0.07318838190360329,0.253,0.533,0
Kenya,Temperature change,0.56848,0.6326305746961681,-0.567,2.307,3
Kiribati,Standard Deviation,0.2882717391304348,0.06049377467941776,0.192,0.422,0
Kiribati,Temperature change,0.2952988505747126,0.5420148911311993,-0.812,1.651,3
Kuwait,Standard Deviation,1.02705,0.36634857759111106,0.49,1.642,4
Kuwait,Temperature change,0.797712962962963,1.2409580189072489,-2.551,3.749,1
Kyrgyzstan,Temperature change,0.562037037037037,1.8650218699786272,-4.825,3.582,7
Land Locked Developing Countries,Standard Deviation,0.38715957446808513,0.12412734556936493,0.243,0.721,0
Land Locked Developing Countries,Temperature change,0.4908409090909091,0.653471329896626,-0.883,2.816,3
Lao People's Democratic Republic,Standard Deviation,0.6434623655913978,0.3328227612650347,0.275,1.233,4
Lao People's Democratic Republic,Temperature change,0.4854356435643565,0.8416475558788438,-1.232,3.394,8
Latvia,Temperature change,1.492282608695652,2.4759642221705467,-5.641,6.839,6
